ltt.pc1,ltt.pc2,ltt.pc3,ltt.pc4,ltv.pc1,ltv.pc2,ltv.pc3,ltv.pc4,ltsy.pc1,ltsy.pc2,ltsy.pc3,ltsy.pc4,ltsco.pc1,ltsco.pc2,ltsco.pc3,ltsco.pc4,lth.pc1,lth.pc2,lth.pc3,lth.pc4
0.830838292,-1.631858718,-0.315154425,-1.101083692,-0.69034598,0.94460371,1.796044047,0.361233869,-0.20463433,-0.693783085,1.468454555,0.636521116,-1.448458679,1.310859662,-1.764414649,3.470292456,-3.777028314,-1.651333527,-0.520592684,-0.353457686
1.036965705,-0.907660221,-0.091947564,-0.387379689,-0.739960056,1.361962526,2.661445758,0.205765872,0.445306327,-0.426702323,2.254768346,0.789952443,-0.793049435,0.496662305,2.585188792,1.665870412,-3.934974316,-2.440523059,-1.184630099,-1.152354929
0.831329413,-1.569780464,-0.899147315,-1.309722915,-1.229072656,2.24582568,1.844459762,-0.132232336,0.120359645,-0.787952133,1.321835618,0.57794686,-1.926285844,3.362546181,-0.341880452,-2.133285904,-3.611059062,-3.37241782,-2.378220175,-2.527787375
1.589488904,-0.869983651,0.886871849,-0.391089301,-1.239205117,1.405059729,1.5685332,0.028273453,0.12935684,-0.394591334,1.483726683,0.499848786,-1.953599631,3.356661184,-0.310976496,-2.146165616,-3.473115726,-1.423798918,-0.373700145,0.045932343
0.999115666,-1.398351332,-0.263079325,-0.956237323,-0.891662086,1.139355551,2.304200768,0.357118684,0.284121404,-0.342494624,1.35612725,0.522650378,-2.061135496,1.936431971,-0.516456014,0.62593438,-4.642181999,-5.146513293,-3.360938657,-3.953594745
1.122860341,-1.354077313,0.307606461,-0.567885826,-0.939674013,1.685638727,2.30831989,0.198909789,-0.14662527,-0.504129753,-0.343016087,0.065991786,-2.32917492,0.782229479,0.288924168,0.410075169,-3.148940183,-1.332025072,-2.787495345,0.708699775
1.289079618,-0.702179386,1.088154335,0.790248801,-0.415660593,3.12152548,2.237437116,-1.005081179,-1.039399352,-0.222994089,-0.167078863,-1.703283268,-2.009204678,0.065051943,1.091209644,0.615164315,-2.57856753,0.317226275,-0.870641232,2.874162047
1.434334925,-0.605003992,-0.220800995,1.784934147,-1.430013581,2.489930065,1.201857591,-0.411711768,0.130258533,-0.49219996,0.406631117,0.239380619,-1.911098907,0.443715679,2.206091558,0.794271712,-3.275338395,-0.386549626,0.332068129,0.787967771
-1.028668588,0.522586555,-0.037834599,0.101169276,-0.519411323,2.156294782,3.096283353,0.259133186,-0.160490819,-1.195098077,-0.559934731,-0.699440529,-1.364186848,0.76062296,2.120572168,0.611817683,-3.204650926,-0.472185354,0.386369014,0.769765418
-0.712111486,0.499947827,-0.184898495,0.040341533,-0.60348778,2.426809352,2.391439162,-0.051511497,0.498396871,-0.294680632,1.858549198,1.205617839,-2.016170243,1.041866795,-0.576627526,0.708546362,-3.170227103,-0.74693672,0.286958157,0.804908942
