(Sub-)species,Code,PC1,PC2,PC3,PC4,pca1.g1,pca2.g2,pca3.g2,pca4.g2
L.t. timidus,5,0.831,-1.632,-0.315,-1.101,-1.406,1.057,-0.26,0.526
L.t. timidus,5,1.037,-0.908,-0.092,-0.387,-1.612,0.332,-0.483,-0.188
L.t. timidus,5,0.831,-1.57,-0.899,-1.31,-1.407,0.994,0.324,0.734
L.t. timidus,5,1.589,-0.87,0.887,-0.391,-2.165,0.295,-1.462,-0.184
L.t. timidus,5,0.999,-1.398,-0.263,-0.956,-1.574,0.823,-0.312,0.381
L.t. timidus,5,1.123,-1.354,0.308,-0.568,-1.698,0.779,-0.883,-0.007
L.t. timidus,5,1.289,-0.702,1.088,0.79,-1.864,0.127,-1.663,-1.366
L.t. timidus,5,1.434,-0.605,-0.221,1.785,-2.01,0.03,-0.355,-2.36
L.t. timidus,5,-1.029,0.523,-0.038,0.101,0.453,-1.098,-0.537,-0.676
L.t. timidus,5,-0.712,0.5,-0.185,0.04,0.137,-1.075,-0.39,-0.616
L.t. timidus,5,0.032,0.242,0.949,-0.404,-0.607,-0.817,-1.524,-0.171
L.t. timidus,5,-0.247,0.463,1.456,0.537,-0.329,-1.038,-2.031,-1.112
L.t. timidus,5,-1.014,1.065,0.258,-0.065,0.438,-1.64,-0.833,-0.511
L.t. timidus,5,-0.924,0.761,0.053,0.014,0.349,-1.336,-0.628,-0.589
L.t. timidus,5,-0.924,0.761,0.053,0.014,0.349,-1.336,-0.628,-0.589
L.t. timidus,5,-0.726,0.368,1.225,0.107,0.151,-0.943,-1.8,-0.682
L.t. timidus,5,-0.726,0.368,1.225,0.107,0.151,-0.943,-1.8,-0.682
L.t. timidus,5,-0.264,-2.162,-1.298,-1.091,-0.312,1.587,0.722,0.516
L.t. timidus,5,0.932,-0.975,-0.904,-0.616,-1.507,0.4,0.328,0.04
L.t. timidus,5,-0.589,0.244,1.134,0.078,0.014,-0.82,-1.709,-0.654
L.t. timidus,5,1.545,-0.887,0.904,-0.384,-2.121,0.312,-1.479,-0.191
L.t. timidus,5,-0.211,0.681,1.186,1.295,-0.364,-1.256,-1.761,-1.87
L.t. timidus,5,-0.211,0.681,1.186,1.295,-0.364,-1.256,-1.761,-1.87
L.t. timidus,5,-1.04,1.019,-0.355,-0.414,0.465,-1.595,-0.22,-0.161
L.t. timidus,5,-0.764,0.3,0.673,-0.095,0.189,-0.875,-1.248,-0.48
L.t. timidus,5,0.584,-1.539,-0.88,-1.245,-1.159,0.963,0.304,0.67
L.t. timidus,5,1.597,-0.531,-0.776,3.157,-2.173,-0.045,0.2,-3.732
L.t. timidus,5,2.097,-1.196,1.051,-0.069,-2.673,0.62,-1.626,-0.506
L.t. timidus,5,-1.337,1.388,-0.661,-0.792,0.762,-1.963,0.085,0.216
L.t. timidus,5,-1.284,3.308,-1.277,0.654,0.709,-3.884,0.702,-1.229
L.t. timidus,5,-1.284,3.308,-1.277,0.654,0.709,-3.884,0.702,-1.229
L.t. timidus,5,-1.016,1.062,-0.402,-0.398,0.44,-1.637,-0.173,-0.177
L.t. timidus,5,0.215,0.364,1.747,0.759,-0.79,-0.94,-2.322,-1.335
L.t. timidus,5,0.398,-1.468,-1.152,-0.899,-0.973,0.893,0.576,0.323
L.t. timidus,5,0.128,0.207,1.368,0.463,-0.703,-0.783,-1.943,-1.038
L.t. timidus,5,1.585,-1.15,0.798,-0.19,-2.16,0.575,-1.374,-0.386
L.t. timidus,5,1.585,-1.15,0.798,-0.19,-2.16,0.575,-1.374,-0.386
L.t. timidus,5,0.456,1.12,-1.214,1.701,-1.031,-1.695,0.638,-2.276
L.t. timidus,5,0.142,1.062,1.561,0.335,-0.717,-1.637,-2.136,-0.911
L.t. timidus,5,-0.64,4.66,-1.524,-2.099,0.065,-5.235,0.949,1.523
L.t. timidus,5,-0.158,0.478,0.722,-0.231,-0.418,-1.053,-1.297,-0.344
L.t. timidus,5,1.863,-0.823,0.395,-0.257,-2.438,0.247,-0.971,-0.318
L.t. timidus,5,1.858,-0.94,0.189,-0.666,-2.433,0.365,-0.764,0.09
L.t. timidus,5,1.858,-0.94,0.189,-0.666,-2.433,0.365,-0.764,0.09
L.t. timidus,5,0.435,0.76,1.67,-0.149,-1.01,-1.335,-2.245,-0.426
L.t. timidus,5,0.306,1.6,0.696,0.201,-0.881,-2.175,-1.271,-0.776
